Common Name,UniProt,PANTHER Protein Class,PANTHER GO-Slim Molecular Function,PANTHER GO-Slim Biological Process,PANTHER GO-Slim Cell Component
"CG5059, isoform A; DmelCG5059; ortholog",Q9VPD6,,,apoptotic process(GO:0006915); mitochondrial transport(GO:0006839); mitochondrion organization(GO:0007005); regulation of biological process(GO:0050789); response to stimulus(GO:0050896); signal transduction(GO:0007165),cytoplasm(GO:0005737); membrane(GO:0016020); mitochondrion(GO:0005739)
"CG6084, isoform C; 34F4T; ortholog",M9PF61,reductase(PC00198),oxidoreductase activity(GO:0016491),,cytosol(GO:0005829)
CG6459 protein; P32; ortholog,Q7JXC4,,mRNA binding(GO:0003729); translation regulator activity(GO:0045182),biosynthetic process(GO:0009058); cellular process(GO:0009987); mitochondrial translation(GO:0032543),cytoplasm(GO:0005737); mitochondrion(GO:0005739)
CG8199; CG8199; ortholog,Q9VHB8,,,,cytoplasm(GO:0005737); mitochondrion(GO:0005739); protein complex(GO:0043234)
CG9389; 142336_at; ortholog,Q9VP62,phosphatase(PC00181),phosphatase activity(GO:0016791),carbohydrate metabolic process(GO:0005975); catabolic process(GO:0009056); phosphate-containing compound metabolic process(GO:0006796); regulation of biological process(GO:0050789); response to stimulus(GO:0050896); signal transduction(GO:0007165),
Chromodomain-helicase-DNA-binding protein Mi-2 homolog; Mi-2; ortholog,O97159,,,,
"Coiled, isoform A; cold; ortholog",Q9VPR7,,,,
Derlin; Der-2; ortholog,Q9VEU2,receptor(PC00197),receptor activity(GO:0004872),,
Division abnormally delayed protein; dally; ortholog,Q24114,,,,
Dynactin subunit 1; Gl; ortholog,P13496,non-motor microtubule binding protein(PC00166),microtubule binding(GO:0008017); structural constituent of cytoskeleton(GO:0005200),intracellular protein transport(GO:0006886); vesicle-mediated transport(GO:0016192),intracellular(GO:0005622)
"Dynamin associated protein 160, isoform D; Dap160; ortholog",M9ND00,G-protein modulator(PC00022); calcium-binding protein(PC00060); membrane traffic protein(PC00150),calcium ion binding(GO:0005509); protein binding(GO:0005515); small GTPase regulator activity(GO:0005083),cellular process(GO:0009987); endocytosis(GO:0006897); intracellular protein transport(GO:0006886),
"Eb1, isoform F; Eb1; ortholog",A1Z6P3,non-motor microtubule binding protein(PC00166),microtubule binding(GO:0008017); structural constituent of cytoskeleton(GO:0005200),cell cycle(GO:0007049); cellular component organization(GO:0016043),intracellular(GO:0005622); microtubule(GO:0005874)
Estrogen-related receptor splice variant; ERR; ortholog,Q8WS79,C4 zinc finger nuclear receptor(PC00169); nucleic acid binding(PC00171); receptor(PC00197),ligand-activated sequence-specific DNA binding RNA polymerase II transcription factor activity(GO:0004879),cellular process(GO:0009987),
Eukaryotic translation initiation factor 2 subunit 2; eIF-2beta; ortholog,P41375,translation initiation factor(PC00224),translation initiation factor activity(GO:0003743),,
Exocyst complex component 1; Sec3; ortholog,Q9VVG4,transfer/carrier protein(PC00219),lipid binding(GO:0008289); protein binding(GO:0005515),cellular process(GO:0009987); exocytosis(GO:0006887); protein localization(GO:0008104),cytoplasm(GO:0005737); plasma membrane(GO:0005886); protein complex(GO:0043234)
Fasciclin-2; Fas2; ortholog,P34082,transmembrane receptor regulatory/adaptor protein(PC00226),,cell surface receptor signaling pathway(GO:0007166),plasma membrane(GO:0005886)
FI07246p; TwdlN; ortholog,Q9VBD5,,,,
FI23922p1; CG10051-RA; ortholog,A1ZBK1,metalloprotease(PC00153),,,
"GDI interacting protein 3, isoform B; Gint3; ortholog",Q7K0S5,,,,
General vesicular transport factor p115; p115; ortholog,Q9W3N6,membrane traffic protein(PC00150),transporter activity(GO:0005215),cellular component organization(GO:0016043); cellular process(GO:0009987); intracellular protein transport(GO:0006886); protein localization(GO:0008104); vesicle-mediated transport(GO:0016192),Golgi apparatus(GO:0005794); cytoplasm(GO:0005737); cytoplasmic membrane-bounded vesicle(GO:0016023); endoplasmic reticulum(GO:0005783); membrane(GO:0016020)
GH01794p; Rcd5; ortholog,Q9VZJ3,,acetyltransferase activity(GO:0016407),biosynthetic process(GO:0009058); cellular process(GO:0009987); chromatin organization(GO:0006325); nitrogen compound metabolic process(GO:0006807); protein acetylation(GO:0006473); regulation of transcription from RNA polymerase II promoter(GO:0006357),intracellular(GO:0005622); nucleoplasm(GO:0005654); protein complex(GO:0043234)
GH06271p; Mms19; ortholog,Q95U54,nucleic acid binding(PC00171); transcription cofactor(PC00217),sequence-specific DNA binding transcription factor activity(GO:0003700); transcription cofactor activity(GO:0003712),DNA repair(GO:0006281); regulation of transcription from RNA polymerase II promoter(GO:0006357),
GH11341p; Rpn5; ortholog,Q9V3Z4,enzyme modulator(PC00095),,catabolic process(GO:0009056); cellular process(GO:0009987); proteolysis(GO:0006508),cytoplasm(GO:0005737); nucleus(GO:0005634); protein complex(GO:0043234)
GH13256p; Thiolase; ortholog,Q9W1H8,acetyltransferase(PC00038),"transferase activity, transferring acyl groups(GO:0016746)",catabolic process(GO:0009056); cellular process(GO:0009987); fatty acid beta-oxidation(GO:0006635),
Golgin-245 ortholog; Golgin245; ortholog,Q9W1R3,membrane trafficking regulatory protein(PC00151); transfer/carrier protein(PC00219),,,
Hepatocyte growth factor-regulated tyrosine kinase substrate; Hrs; ortholog,Q960X8,,,,
Histone acetyltransferase Tip60; Tip60; ortholog,Q960X4,acetyltransferase(PC00038); chromatin/chromatin-binding protein(PC00077); zinc finger transcription factor(PC00244),acetyltransferase activity(GO:0016407); chromatin binding(GO:0003682); sequence-specific DNA binding transcription factor activity(GO:0003700),cell cycle(GO:0007049); induction of apoptosis(GO:0006917); protein acetylation(GO:0006473); regulation of transcription from RNA polymerase II promoter(GO:0006357),
Histone deacetylase complex subunit SAP18; Bin1; ortholog,Q9VEX9,chromatin/chromatin-binding protein(PC00077),chromatin binding(GO:0003682); nucleic acid binding(GO:0003676),regulation of transcription from RNA polymerase II promoter(GO:0006357),
Histone-lysine N-methyltransferase SETD1; Set1; ortholog,Q5LJZ2,,,,
Inhibitor of growth protein; CG7379; ortholog,Q9VEF5,chromatin/chromatin-binding protein(PC00077); transcription cofactor(PC00217); zinc finger transcription factor(PC00244),chromatin binding(GO:0003682); sequence-specific DNA binding transcription factor activity(GO:0003700); transcription cofactor activity(GO:0003712),carbohydrate metabolic process(GO:0005975); cell cycle(GO:0007049); chromatin organization(GO:0006325); nucleobase-containing compound metabolic process(GO:0006139),
IP06402p; DmelCG10581; ortholog,Q9VP84,kinase(PC00137),kinase activity(GO:0016301),,
IP19042p; CG31928; ortholog,Q9VQ11,aspartic protease(PC00053),aspartic-type endopeptidase activity(GO:0004190),catabolic process(GO:0009056); cellular component organization(GO:0016043); cellular process(GO:0009987); proteolysis(GO:0006508),cell wall(GO:0005618); plasma membrane(GO:0005886)
"Karst, isoform E; kst; ortholog",A8JNJ6,,,cellular process(GO:0009987); cytoskeleton organization(GO:0007010),actin cytoskeleton(GO:0015629); intracellular(GO:0005622); microtubule organizing center(GO:0005815); protein complex(GO:0043234)
Katanin p60 ATPase-containing subunit A1; Kat60; ortholog,A0A0B4KFL3,non-motor microtubule binding protein(PC00166),pyrophosphatase activity(GO:0016462),catabolic process(GO:0009056); cellular process(GO:0009987); cytoskeleton organization(GO:0007010); nitrogen compound metabolic process(GO:0006807); nucleobase-containing compound metabolic process(GO:0006139); phosphate-containing compound metabolic process(GO:0006796),intracellular(GO:0005622); nucleus(GO:0005634)
Katanin p80 WD40 repeat-containing subunit B1; kat80; ortholog,Q0KHS0,,pyrophosphatase activity(GO:0016462),catabolic process(GO:0009056); cellular process(GO:0009987); cytoskeleton organization(GO:0007010); nitrogen compound metabolic process(GO:0006807); nucleobase-containing compound metabolic process(GO:0006139); phosphate-containing compound metabolic process(GO:0006796),cytoplasm(GO:0005737); microtubule organizing center(GO:0005815); protein complex(GO:0043234)
LD13601p; UGP; ortholog,Q9VSW1,,,,
LD19715p; TwdlF; ortholog,Q9VMZ5,,,,
LD21067p; PAPLA1; ortholog,Q9VLS7,membrane traffic protein(PC00150); phospholipase(PC00186),phospholipase activity(GO:0004620),,cytoplasm(GO:0005737)
LD23870p; RnpS1; ortholog,Q9VHC0,mRNA splicing factor(PC00148),,"RNA splicing, via transesterification reactions(GO:0000375); cellular process(GO:0009987); mRNA splicing, via spliceosome(GO:0000398); nitrogen compound metabolic process(GO:0006807); regulation of nucleobase-containing compound metabolic process(GO:0019219)",cytoplasm(GO:0005737); nucleoplasm(GO:0005654)
LD28815p; Usp10; ortholog,Q9W0L7,,,,
Mediator of RNA polymerase II transcription subunit 13; skd; ortholog,Q7KTX8,,RNA polymerase II transcription factor binding transcription factor activity(GO:0001076); transcription cofactor activity(GO:0003712),biosynthetic process(GO:0009058); cellular process(GO:0009987); nitrogen compound metabolic process(GO:0006807),intracellular(GO:0005622); nucleoplasm(GO:0005654); protein complex(GO:0043234)
"Misshapen, isoform A; msn; ortholog",Q9W002,,protein binding(GO:0005515); protein kinase activity(GO:0004672); signal transducer activity(GO:0004871),MAPK cascade(GO:0000165); apoptotic process(GO:0006915); cell differentiation(GO:0030154); cellular component morphogenesis(GO:0032989); cytokinesis(GO:0000910); nervous system development(GO:0007399); regulation of catalytic activity(GO:0050790); regulation of cell cycle(GO:0051726); regulation of phosphate metabolic process(GO:0019220); response to stimulus(GO:0050896); single-multicellular organism process(GO:0044707),cytoplasm(GO:0005737)
MOB kinase activator-like 1; mats; ortholog,Q95RA8,kinase activator(PC00138),kinase activator activity(GO:0019209); protein binding(GO:0005515),cytokinesis(GO:0000910); mitosis(GO:0007067),
NAD-dependent protein deacetylase Sirt7; Sirt7; ortholog,Q9VAQ1,,,chromatin organization(GO:0006325),
Netrin-B; NetB; ortholog,Q24568,extracellular matrix linker protein(PC00101); protease inhibitor(PC00191); receptor(PC00197),receptor activity(GO:0004872),cellular process(GO:0009987),extracellular region(GO:0005576)
"Neurexin 1, isoform F; Nrx-1; ortholog",A0A0B4KGL0,,,,
Neurexin-4; Nrx-IV; ortholog,Q94887,,,,
Neurogenic locus Notch protein; N; ortholog,P07207,,,,
Neuroglian; Nrg; ortholog,P20241,,,,
Nuclear factor NF-kappa-B p110 subunit; Rel; ortholog,Q94527,,,,
Nuclear factor Y-box C; Nf-YC; ortholog,Q9W3V9,DNA-directed DNA polymerase(PC00018); chromatin/chromatin-binding protein(PC00077); transcription factor(PC00218),DNA-directed DNA polymerase activity(GO:0003887); chromatin binding(GO:0003682); sequence-specific DNA binding transcription factor activity(GO:0003700),DNA metabolic process(GO:0006259); regulation of carbohydrate metabolic process(GO:0006109); regulation of transcription from RNA polymerase II promoter(GO:0006357),intracellular(GO:0005622); nucleus(GO:0005634)
"p21-activated kinase, isoform F; Pak; ortholog",B7Z0W0,,protein binding(GO:0005515); protein kinase activity(GO:0004672); signal transducer activity(GO:0004871),MAPK cascade(GO:0000165); apoptotic process(GO:0006915); cytokinesis(GO:0000910); regulation of catalytic activity(GO:0050790); regulation of cell cycle(GO:0051726); regulation of phosphate metabolic process(GO:0019220); response to stimulus(GO:0050896),cytoplasm(GO:0005737)
Patronin; Patronin; ortholog,A1ZAU8,,,,
Poly(U)-binding-splicing factor half pint; pUf68; ortholog,Q8T6B9,,,,
Polyubiquitin; Ubi-p63E; ortholog,P0CG69,ribosomal protein(PC00202),protein binding(GO:0005515),catabolic process(GO:0009056); cellular process(GO:0009987); cellular protein modification process(GO:0006464); proteolysis(GO:0006508),cytoplasm(GO:0005737); nucleus(GO:0005634)
"Probable citrate synthase, mitochondrial; kdn; ortholog",Q9W401,lyase(PC00144); transferase(PC00220),lyase activity(GO:0016829); transferase activity(GO:0016740),carbohydrate metabolic process(GO:0005975); cellular amino acid biosynthetic process(GO:0008652); cellular amino acid catabolic process(GO:0009063); generation of precursor metabolites and energy(GO:0006091); tricarboxylic acid cycle(GO:0006099),
Proteasome-associated protein ECM29 homolog; CG8858; ortholog,Q9V677,kinase modulator(PC00140),kinase regulator activity(GO:0019207); protein binding(GO:0005515),cellular protein modification process(GO:0006464); proteolysis(GO:0006508); translation(GO:0006412),
Protein big brother; Bgb; ortholog,Q24040,,DNA binding(GO:0003677); transcription cofactor activity(GO:0003712),biosynthetic process(GO:0009058); cellular process(GO:0009987); nitrogen compound metabolic process(GO:0006807); regulation of transcription from RNA polymerase II promoter(GO:0006357),
Protein brother; Bro; ortholog,Q24039,,DNA binding(GO:0003677); transcription cofactor activity(GO:0003712),biosynthetic process(GO:0009058); cellular process(GO:0009987); nitrogen compound metabolic process(GO:0006807); regulation of transcription from RNA polymerase II promoter(GO:0006357),
Protein kinase shaggy; sgg; ortholog,P18431,non-receptor serine/threonine protein kinase(PC00167),protein kinase activity(GO:0004672),glycogen metabolic process(GO:0005977); mitosis(GO:0007067),
Protein king tubby; ktub; ortholog,Q86PC9,,lipid binding(GO:0008289),cellular process(GO:0009987); protein localization(GO:0008104),cilium(GO:0005929); intracellular(GO:0005622); organelle(GO:0043226)
Protein krasavietz; kra; ortholog,Q9VNE2,nuclease(PC00170); translation initiation factor(PC00224),,,cytoplasm(GO:0005737)
Protein lap1; Lap1; ortholog,Q9V780,,,,
Protein mothers against dpp; Mad; ortholog,P42003,transcription factor(PC00218),sequence-specific DNA binding transcription factor activity(GO:0003700),cell-cell signaling(GO:0007267); intracellular signal transduction(GO:0035556); regulation of transcription from RNA polymerase II promoter(GO:0006357); transmembrane receptor protein serine/threonine kinase signaling pathway(GO:0007178),
Protocadherin-like wing polarity protein stan; stan; ortholog,Q9V5N8,G-protein coupled receptor(PC00021); cadherin(PC00057); protease(PC00190),G-protein coupled receptor activity(GO:0004930); calcium ion binding(GO:0005509),cell-cell adhesion(GO:0016337); cellular component morphogenesis(GO:0032989),
"Rab21, isoform C; Rab21; ortholog",Q7PLE9,,GTPase activity(GO:0003924); pyrophosphatase activity(GO:0016462),catabolic process(GO:0009056); cellular component biogenesis(GO:0044085); exocytosis(GO:0006887); intracellular protein transport(GO:0006886); intracellular signal transduction(GO:0035556); nitrogen compound metabolic process(GO:0006807); nucleobase-containing compound metabolic process(GO:0006139); organelle organization(GO:0006996); phagocytosis(GO:0006909); phosphate-containing compound metabolic process(GO:0006796); protein localization(GO:0008104); regulation of biological process(GO:0050789); response to endogenous stimulus(GO:0009719),Golgi apparatus(GO:0005794); cytoplasm(GO:0005737); cytoplasmic membrane-bounded vesicle(GO:0016023); endoplasmic reticulum(GO:0005783); endosome(GO:0005768); mitochondrion(GO:0005739); nuclear outer membrane-endoplasmic reticulum membrane network(GO:0042175); plasma membrane(GO:0005886); vacuole(GO:0005773)
RE49895p; TwdlD; ortholog,Q9VBD2,,,,
Reticulon-like protein; Rtnl1; ortholog,E1JHT6,,,,
Ribosomal RNA-processing protein 8; CG7137; ortholog,Q7K2B0,,,,intracellular(GO:0005622); nucleolus(GO:0005730)
RT02919p; TwdlO; ortholog,Q9VBD8,,,,
RT03118p; TwdlJ; ortholog,Q9VBD6,,,,
RT07854p; CG13996-RA; ortholog,Q9VMJ2,,,,
Semaphorin-1A; Sema-1a; ortholog,Q24322,membrane-bound signaling molecule(PC00152),receptor binding(GO:0005102),behavior(GO:0007610); cell differentiation(GO:0030154); cell growth(GO:0016049); cell surface receptor signaling pathway(GO:0007166); cellular component morphogenesis(GO:0032989); cellular component movement(GO:0006928); localization(GO:0051179); locomotion(GO:0040011); nervous system development(GO:0007399); regulation of biological process(GO:0050789); response to external stimulus(GO:0009605); single-multicellular organism process(GO:0044707),extracellular space(GO:0005615)
Semaphorin-2A; Sema2a; ortholog,Q24323,membrane-bound signaling molecule(PC00152),receptor binding(GO:0005102),behavior(GO:0007610); cell differentiation(GO:0030154); cell growth(GO:0016049); cell surface receptor signaling pathway(GO:0007166); cellular component morphogenesis(GO:0032989); cellular component movement(GO:0006928); localization(GO:0051179); locomotion(GO:0040011); nervous system development(GO:0007399); regulation of biological process(GO:0050789); response to external stimulus(GO:0009605); single-multicellular organism process(GO:0044707),extracellular space(GO:0005615)
Serine/threonine-protein kinase hippo; hpo; ortholog,Q8T0S6,,protein binding(GO:0005515); protein kinase activity(GO:0004672); signal transducer activity(GO:0004871),MAPK cascade(GO:0000165); apoptotic process(GO:0006915); cytokinesis(GO:0000910); regulation of catalytic activity(GO:0050790); regulation of cell cycle(GO:0051726); regulation of phosphate metabolic process(GO:0019220); response to stimulus(GO:0050896),cytoplasm(GO:0005737)
Serine/threonine-protein kinase; PKD; ortholog,A0A0B4KHC3,,,,
Serine/threonine-protein phosphatase beta isoform; flw; ortholog,P48462,calcium-binding protein(PC00060); protein phosphatase(PC00195),calcium ion binding(GO:0005509); phosphoprotein phosphatase activity(GO:0004721),cell cycle(GO:0007049); glycogen metabolic process(GO:0005977); mRNA processing(GO:0006397); protein phosphorylation(GO:0006468); regulation of carbohydrate metabolic process(GO:0006109); regulation of nucleobase-containing compound metabolic process(GO:0019219); response to stress(GO:0006950); transcription from RNA polymerase II promoter(GO:0006366),
"Short stop, isoform H; shot; ortholog",A1Z9J3,,,,
Signal recognition particle subunit SRP72; Srp72; ortholog,Q9VDK7,,,cellular process(GO:0009987); protein localization(GO:0008104); protein targeting(GO:0006605),cytoplasm(GO:0005737); ribonucleoprotein complex(GO:0030529)
SNAPIN protein homolog; Snapin; ortholog,Q9VQF9,,,,
"Sno oncogene, isoform B; Snoo; ortholog",Q00G30,,protein binding(GO:0005515),biosynthetic process(GO:0009058); cell differentiation(GO:0030154); nervous system development(GO:0007399); nitrogen compound metabolic process(GO:0006807); regulation of transcription from RNA polymerase II promoter(GO:0006357); response to endogenous stimulus(GO:0009719); single-multicellular organism process(GO:0044707); transmembrane receptor protein serine/threonine kinase signaling pathway(GO:0007178),
"SoxNeuro, isoform B; SoxN; ortholog",M9PCZ7,HMG box transcription factor(PC00024),,,
Spectrin alpha chain; alpha-Spec; ortholog,P13395,,,,
Splicing factor U2AF 50 kDa subunit; U2af50; ortholog,Q24562,,RNA binding(GO:0003723),,intracellular(GO:0005622); nucleoplasm(GO:0005654); ribonucleoprotein complex(GO:0030529)
Stress-activated protein kinase JNK; bsk; ortholog,P92208,non-receptor serine/threonine protein kinase(PC00167),protein kinase activity(GO:0004672); signal transducer activity(GO:0004871),JNK cascade(GO:0007254); phosphate-containing compound metabolic process(GO:0006796); regulation of biological process(GO:0050789); response to stress(GO:0006950),cytoplasm(GO:0005737); nucleus(GO:0005634)
Teneurin-m; Ten-m; ortholog,O61307,,,cell differentiation(GO:0030154); cellular component morphogenesis(GO:0032989); cellular component movement(GO:0006928); locomotion(GO:0040011); nervous system development(GO:0007399); response to external stimulus(GO:0009605); single-multicellular organism process(GO:0044707),
Transcription factor AP-1; Jra; ortholog,P18289,basic leucine zipper transcription factor(PC00056),sequence-specific DNA binding RNA polymerase II transcription factor activity(GO:0000981),biosynthetic process(GO:0009058); cellular process(GO:0009987); nitrogen compound metabolic process(GO:0006807); response to stress(GO:0006950),intracellular(GO:0005622); nuclear chromosome(GO:0000228); nucleoplasm(GO:0005654); protein complex(GO:0043234)
Transcriptional activator cubitus interruptus; ci; ortholog,P19538,,,ectoderm development(GO:0007398); embryo development(GO:0009790); segment specification(GO:0007379),
Transport and Golgi organization protein 6; Tango6; ortholog,Q9VJ29,,,,
Tubulin alpha-1 chain; alphaTub84B; ortholog,P06603,tubulin(PC00228),nucleotide binding(GO:0000166); structural constituent of cytoskeleton(GO:0005200),cell cycle(GO:0007049); cytoskeleton organization(GO:0007010),cytoplasm(GO:0005737); microtubule(GO:0005874)
Tubulin alpha-3 chain; alphaTub84D; ortholog,P06605,tubulin(PC00228),nucleotide binding(GO:0000166); structural constituent of cytoskeleton(GO:0005200),cell cycle(GO:0007049); cytoskeleton organization(GO:0007010),cytoplasm(GO:0005737); microtubule(GO:0005874)
Tubulin beta-1 chain; betaTub56D; ortholog,Q24560,tubulin(PC00228),nucleotide binding(GO:0000166); structural constituent of cytoskeleton(GO:0005200),cell cycle(GO:0007049); cytoskeleton organization(GO:0007010),cytoplasm(GO:0005737); microtubule(GO:0005874)
Tubulin beta-3 chain; betaTub60D; ortholog,P08841,tubulin(PC00228),nucleotide binding(GO:0000166); structural constituent of cytoskeleton(GO:0005200),cell cycle(GO:0007049); cytoskeleton organization(GO:0007010),cytoplasm(GO:0005737); microtubule(GO:0005874)
TweedleB; TwdlB; ortholog,Q9VBE0,,,,
Ubiquitin carboxyl-terminal hydrolase 36; scny; ortholog,Q9VRP5,cysteine protease(PC00081),,,
"Uncharacterized protein, isoform D; CG42404; ortholog",Q9VFA8,,,,
Uncharacterized protein; CG11454; ortholog,Q9VPK4,,,,
V-type proton ATPase subunit B; Vha55; ortholog,P31409,ATP synthase(PC00002); DNA binding protein(PC00009); anion channel(PC00049); hydrolase(PC00121); ligand-gated ion channel(PC00141),"anion channel activity(GO:0005253); cation transmembrane transporter activity(GO:0008324); hydrolase activity(GO:0016787); ligand-gated ion channel activity(GO:0015276); proton-transporting ATP synthase activity, rotational mechanism(GO:0046933); receptor activity(GO:0004872); single-stranded DNA binding(GO:0003697)",nucleobase-containing compound transport(GO:0015931); purine nucleobase metabolic process(GO:0006144); respiratory electron transport chain(GO:0022904),intracellular(GO:0005622); proton-transporting ATP synthase complex(GO:0045259)
"Zormin, isoform J; zormin; ortholog",M9PBJ1,,,,
